test_index,cid,description,ground_truth,generated,word_length,word_bucket,token_length,token_bucket,bertzct,bertz_bucket,maccs,valid
10,23724633,"The molecule is an optically active 9-(phosphonooxy)-10-hydroxy derivative of stearic acid with (9S,10S)-configuration. It is a carboxyalkyl phosphate and a hydroxyalkyl phosphate. It derives from an octadecanoic acid. It is a conjugate acid of a (9S,10S)-10-hydroxy-9-(phosphonatooxy)octadecanoate.",CCCCCCCC[C@@H]([C@H](CCCCCCCC(=O)O)OP(=O)(O)O)O,CCCCCCCC[C@@H]([C@H](CCCCCCCC(=O)O)OP(=O)(O)O)O,36,1-64,98,97-128,397.0008472478459,300-800,1.0,True
11,71298190,The molecule is an amino tetrasaccharide that is alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)-D-GalpNAc in which the hydroxy group at position 4 of the beta-D-galactopyranosyl moiety has been glycosylated by an alpha-D-galactopyranosyl group. It is an amino tetrasaccharide and a member of acetamides. It derives from an alpha-L-Fucp-(1->2)-beta-D-Galp-(1->3)-D-GalpNAc.,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@H]3[C@H]([C@H](OC([C@@H]3NC(=O)C)O)CO)O)CO)O[C@@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O)O)O,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@H]3[C@H]([C@H](OC([C@@H]3NC(=O)C)O)CO)O)CO)O[C@@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O)O)O,43,1-64,137,129-160,1011.5008087264478,>800,1.0,True
12,23674745,"The molecule is a hydrate that is the dihydrate form of loxoprofen sodium. The parent acid, loxoprofen, is a prodrug that is rapidly converted into its active trans-alcohol metabolite following oral administration. It has a role as a non-steroidal anti-inflammatory drug, a non-narcotic analgesic, an EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor and an antipyretic. It contains a loxoprofen sodium.",CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)[O-].O.O.[Na+],CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)[O-].[Na+],58,1-64,117,97-128,457.63671060469744,300-800,0.896551724137931,True
13,70678725,"The molecule is an alklaoid obtained from the marine sponge Aplysinella. It has a role as an antineoplastic agent and a marine metabolite. It is a spiro compound, an alpha-bromoketone, an alkaloid, a secondary alcohol, an ether, a methylium and a monocarboxylic acid amide. It derives from a N-substituted putrescine.",COC1=C([C@@H]([C@]2(CC(=NO2)C(=O)NCCCCNC(=O)C3=NO[C@]4(C3)C=C(C(=O)[C@@H]([C@H]4O)Br)Br)C=C1Br)O)Br,CC(C1=C(CCC(=O)C)CC([C@@H]1N3CCN2=C[C@@H](C(=O)OC)C)CCCC(=O)OC)N,50,1-64,95,65-96,1234.3723004124104,>800,,False
14,69212,"The molecule is a member of the class of monohydroxy-1,4-benzoquinones that is 2-hydroxy-1,4-benzoquinone carrying an additional methyl substituent at position 5. It is a conjugate acid of a 2-oxido-5-methylquinone.",CC1=CC(=O)C(=O)C=C1O,CC1=CC(=O)C(=CC1=O)C(=O)O,29,1-64,69,65-96,230.02478462753274,100-300,0.8571428571428571,True
15,12308716,"The molecule is a limonoid that is the C-17 epimer of azadiradione. It has been isolated from Azadirachta indica. It has a role as a plant metabolite. It is an acetate ester, a cyclic terpene ketone, a member of furans, a limonoid and a tetracyclic triterpenoid.",CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1(C4=CC(=O)[C@@H]([C@@]4(CC3)C)C5=COC=C5)C)C,CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1(C4=CC(=O)O[C@H]([C@@]4(CC3)C)C5=COC=C5)C)C)C,46,1-64,86,65-96,1091.52991608211,>800,,False
16,5471966,"The molecule is a tricyclic triterpenoid isolated from Poria cocos. It has a role as a fungal metabolite. It is a dicarboxylic acid, a secondary alcohol and a tricyclic triterpenoid.",CC(=CCC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC3=C2CC[C@H]([C@]3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O)C,CC(C)C(=C)CC[C@H]([C@H]1[C@@H](C[C@@]2([C@@]1(CCC3=C2CC[C@H]([C@]3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O,30,1-64,57,1-64,940.3935292938061,>800,1.0,True
17,13376,The molecule is a member of the class of formamides that is formamide substituted by a butyl group at the N atom. It has a role as a human metabolite. It derives from a formamide.,CCCCNC=O,CCCCN(=O)C=O,35,1-64,46,1-64,45.34481288877288,<100,,False
18,6913121,"The molecule is an unsymmetrical cationic C1 cyanine dye having 1,3-benzoxazol-2-yl and quinolinium-4-yl substituents. It has a role as a fluorochrome. It is a cyanine dye, a quaternary ammonium ion, a benzoxazolium ion and a quinolinium ion.",CN\\1C2=CC=CC=C2O/C1=C\\C3=CC=[N+](C4=CC=CC=C34)CCC[N+](C)(C)C,CN\\1C2=CC=CC=C2O/C1=C\\C3=CC=[N+](C=C3)CCC[N+](C)(C)C,37,1-64,85,65-96,1033.4448622927296,>800,1.0,True
19,86289860,"The molecule is a dihydroxy monocarboxylic acid that is 10-hydroxydecanoic acid in which the pro-R hydrogen beta to the carboxy group is replaced by a hydroxy group. It is an omega-hydroxy fatty acid, a dihydroxy monocarboxylic acid, a medium-chain fatty acid and a (3R)-3-hydroxy fatty acid. It derives from a 10-hydroxycapric acid.",C(CCC[C@H](CC(=O)O)O)CCCO,C(CCCCO)CC[C@H](C[C@H](CC(=O)O)O,52,1-64,102,97-128,147.05742456244437,100-300,,False
20,14345637,"The molecule is a 1,2-diglyceride in which the acyl groups at positions 1 and 2 are specifed as stearoyl and arachidonoyl respectively. It derives from an arachidonic acid and an octadecanoic acid.",CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC,32,1-64,58,1-64,781.7223930085435,300-800,1.0,True
21,10825777,"The molecule is a member of the class of benzothiazines that is 3,4-dihydro-2H-1,4-benzothiazin-3-one bearing additional hydroxy and 2-amino-2-carboxyethyl substituents at positions 5 and 7 respectively. It has a role as a human metabolite. It is a benzothiazine, a lactam, a member of phenols and a non-proteinogenic alpha-amino acid.",C1C(=O)NC2=C(C=C(C=C2S1)CC(C(=O)O)N)O,C1C(=NC2=C(C=C(C=C2S1)CC(C(=O)O)N)C(=O)O)N,48,1-64,107,97-128,518.0098310656977,300-800,0.7222222222222222,True
22,11060176,The molecule is an amino trisaccharide comprising of three 2-amino-2-deoxy-D-glucopyranose units joined by beta-(1->4) linkages. It has a role as a marine metabolite and a eukaryotic metabolite.,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)N)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)N)O)CO)CO)N)O)O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](O[C@@H]([C@H]2O)N)O[C@H](O[C@@H]3[C@H](OC3=O)O)N)CO)CO)O)O)O)O,27,1-64,63,1-64,646.2140509222512,300-800,,False
23,279,"The molecule is an N-carbamoylamino acid that is aspartic acid with one of its amino hydrogens replaced by a carbamoyl group. It has a role as a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite and a human metabolite. It is a N-carbamoyl-amino acid, an aspartic acid derivative and a C4-dicarboxylic acid. It is a conjugate acid of a N-carbamoylaspartate(2-).",C(C(C(=O)O)NC(=O)N)C(=O)O,C(C(C(=O)O)NC(=O)N)C(=O)O,59,1-64,120,97-128,197.88411903840284,100-300,1.0,True
24,135814272,The molecule is the conjugate base of Photinus luciferin; major species at pH 7.3. It is a conjugate base of a Photinus luciferin. It is an enantiomer of an ent-Photinus luciferin(1-).,C1[C@@H](N=C(S1)C2=NC3=C(S2)C=C(C=C3)O)C(=O)[O-],C1[C@H](N=C(S1)C2=NC3=C(S2)C=C(C=C3)O)C(=O)[O-],31,1-64,59,1-64,665.3521194793673,300-800,1.0,True
25,72189985,"The molecule is a FAHFA (fatty acid ester of a hydroxy fatty acid) obtained by formal condensation of the carboxy group of palmitic acid with the hydroxy group of 9-hydroxyoctadecanoic acid (9-hydroxystearic acid). It has a role as a human metabolite, a hypoglycemic agent and an anti-inflammatory agent. It is a FAHFA and a long-chain fatty acid. It derives from a hexadecanoic acid and an octadecanoic acid. It is a conjugate acid of a 9-PAHSA(1-).",CCCCCCCCCCCCCCCC(=O)OC(CCCCCCCCC)CCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)OC(CCCCCCCCC)CCCCCCCC(=O)O,75,65-96,134,129-160,504.71428757801533,300-800,1.0,True
26,443078,The molecule is a steroid glucosiduronic acid. It has a role as a human metabolite and a mouse metabolite. It derives from a 3alpha-hydroxy-5beta-androstan-17-one.,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O,C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)C,24,1-64,49,1-64,801.2764168881598,>800,0.975609756097561,True
27,132282124,The molecule is an acyl-CoA that results from the formal condensation of the thiol group of coenzyme A with the carboxy group of oscr#12. It derives from an oscr#12. It is a conjugate acid of an oscr#12-CoA(4-).,C[C@H]1[C@@H](C[C@H]([C@@H](O1)OCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O)O)O,C[C@H]1[C@@H](C[C@H]([C@@H](O1)OCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O)O)O,37,1-64,72,65-96,2066.4483553382106,>800,1.0,True
28,68057,"The molecule is a member of the class of tetralins that is tetralin substituted by methyl groups at positions 1, 1 and 6 respectively. It has a role as a metabolite. It is a member of tetralins and an ortho-fused bicyclic hydrocarbon. It derives from a hydride of a tetralin.",CC1=CC2=C(C=C1)C(CCC2)(C)C,CC1CCCC2=C(C=C1C=C2)C,50,1-64,74,65-96,320.81023714834686,300-800,0.6842105263157895,True
29,134160296,"The molecule is a branched octasaccharide derivative comprising one 5-deoxy-5-(methylsulfanyl)xylofuranose, one mannopyranose and six D-arabinofuranose units, in an assembly consisting of two of the arabinose residues linked alpha(1->5), with beta-arabinosyl-(1->2)-alpha-arabinosyl and 5-deoxy-5-(methylsulfanyl)-beta-xylofuranosyl-(1->4)-alpha-mannosyl-(1->5)-beta-arabinosyl-(1->2)-alpha-arabinosyl units linked to respectively the 3- and 5-positions of the arabinose residue distal from the reducing-end residue.",CSC[C@@H]1[C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)O[C@H]4[C@@H]([C@H](O[C@@H]4OC[C@@H]5[C@H]([C@@H]([C@H](O5)OC[C@@H]6[C@H]([C@@H](C(O6)O)O)O)O)O[C@@H]7[C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@H]([C@@H]([C@H](O8)CO)O)O)CO)O)O)O)CO)O)O,CSC[C@@H]1[C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@@H](O3)O[C@H]4[C@@H]([C@H](O[C@@H]4O[C@@H]5[C@H](O[C@@H]([C@H]5O)OC[C@@H]6[C@H]([C@@H](C(O6)O)O)O)CO[C@@H]7[C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@H]([C@@H]([C@H](O8)CO)O)O)CO)O)O)O)CO)O)O,49,1-64,170,>160,1787.7587216396287,>800,1.0,True
30,6433272,The molecule is a polyene macrolide antibiotic; part of the nystatin complex produced by several Streptococcus species. It is a member of nystatins and a carboxylic acid.,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC\\2CC(C(C(CC(=O)CC(C(CCC(CC(CC(CC(=O)OC(C(C(C(/C=C/C=C/CC/C=C/C=C/C=C/C=C2)C)O)C)C)C)O)O)O)O)O)C(=O)O)O)O)N)O,27,1-64,47,1-64,1619.952954386341,>800,0.92,True
31,57330977,"The molecule is a myricetin O-glucuronide that is myricetin with a beta-D-glucosiduronic acid residue attached at the 5-position. It has a role as a metabolite. It is a myricetin O-glucuronide, a pentahydroxyflavone, a member of flavonols and a monosaccharide derivative.",C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(O2)C=C(C=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,40,1-64,90,65-96,1355.6698287908202,>800,1.0,True
32,5315318,"The molecule is an organic heterotetracyclic compound that is 2,3,10,12-tetrahydro-4H,11H-pyrano[2,3-a]xanthene-4,11-dione substituted by methyl groups at positions 6, 8, 10, and 10, and by hydroxy, isopropyl, methoxy, phenyl, and groups at positions 5, 12, 9, and 2, respectively (the S,R-enantiomer). It is isolated from the leaves of Baeckea frutescens and exhibits cytotoxicity against leukemia cells. It has a role as a metabolite and an antineoplastic agent. It is an ether, an extended flavonoid, an organic heterotetracyclic compound and a member of phenols.",CC1=C(C2=C(C3=C1OC4=C([C@@H]3C(C)C)C(=O)C(C(=C4C)OC)(C)C)O[C@@H](CC2=O)C5=CC=CC=C5)O,CC1=C(C2=C(C3=C1OC4=C([C@H]3C(C)C)C(=O)C(C(=C4C)OC)(C)C)O[C@@H](CC2=O)C5=CC=CC=C5)O,81,65-96,177,>160,1359.798217189225,>800,1.0,True
33,25031915,"The molecule is a naphthalenecarboxamide obtained from formal condensation of the carboxy group of aminocyclopropyl)methoxy]-6-methoxyquinolin-4-yl}oxy)-1-naphthoic acid with methylamine. It has a role as an antineoplastic agent, a fibroblast growth factor receptor antagonist and a vascular endothelial growth factor receptor antagonist. It is a member of quinolines, an aromatic ether, a member of cyclopropanes, a primary amino compound and a naphthalenecarboxamide. It is a conjugate base of an E-3810(1+).",CNC(=O)C1=CC=CC2=C1C=CC(=C2)OC3=C4C=C(C(=CC4=NC=C3)OCC5(CC5)N)OC,COC1=C(C=C(C=C1)C2=CC3C(=CC4=C(C=CC=C3NC(=CC=CC=C4)O)C5=NC(=O)OC,68,65-96,150,129-160,1364.763919587841,>800,,False
34,443144,The molecule is a 1-(1-methylpyrrolidin-2-yl)acetone that has S configuration. It is a pyrrolidine alkaloid and a 1-(1-methylpyrrolidin-2-yl)acetone. It is an enantiomer of a hygrine.,CC(=O)C[C@@H]1CCCN1C,CN1[C@@H](CCC1)OC2=CC=C2,24,1-64,70,65-96,133.21928094887363,100-300,0.6511627906976745,True
35,108086,"The molecule is a pyrrolidinecarboxylic acid that is siolated from the poisonous mushroom Clitocybe amoenolens. It has a role as a NMDA receptor agonist, a fungal metabolite and a neurotoxin. It is a pyrrolidinecarboxylic acid, a tricarboxylic acid and a pyridone. It derives from a L-proline.",C1[C@@H]([C@@H]([C@H](N1)C(=O)O)CC(=O)O)C2=CC=C(NC2=O)C(=O)O,C1C[C@H](N(C12C(=C2C(=O)N3CCCN)C(=O)O)C(=O)O,46,1-64,92,65-96,681.2113328864227,300-800,,False
36,14212362,The molecule is a purine ribonucleoside 5'-monophosphate that is the 2-oxo derivative of AMP. It derives from an adenosine 5'-monophosphate. It is a conjugate acid of a 2-oxo-AMP(2-). It is a tautomer of a 2-hydroxy-AMP.,C1=NC2=C(NC(=O)N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O)N,35,1-64,79,65-96,860.5408038851165,>800,0.9014084507042254,True
37,73271,The molecule is a monocarboxylic acid comprising uracil having a carboxymethyl substituent at the 6-position. It derives from a uracil and an acetic acid.,C1=C(NC(=O)NC1=O)CC(=O)O,C1=C(C(=O)NC(=O)N1CC(=O)O,24,1-64,45,1-64,374.249379292522,300-800,,False
38,5280695,"The molecule is a monomethoxyflavone that is the 8-O-methyl derivative of gossypetin. It is a pentahydroxyflavone, a member of flavonols and a monomethoxyflavone. It derives from a gossypetin. It is a conjugate acid of a 3',4',5,7-pentahydroxy-8-methoxyflavon-3-olate.",COC1=C(C=C(C2=C1OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O)O,COC1=C(C=CC(=C1OC2=C(C(=O)O)O)C3=CC(=C(C=C32)O)O)O,36,1-64,101,97-128,1018.9867510987012,>800,0.8571428571428571,True
39,119035,"The molecule is a member of the class of monohydroxy-1,4-benzoquinones that is 1,4-benzoquinone which is substituted by a methoxy, hydroxy and methyl group at positions 2,3 and 5, respectively. It is a mycotoxin isolated from Aspergillus fumigatus. It has a role as an Aspergillus metabolite and a mycotoxin. It derives from a 2,3-dihydroxy-5-methyl-1,4-benzoquinone.",CC1=CC(=O)C(=C(C1=O)O)OC,CC1=CC(=O)C(=C(C1=O)OC)O,53,1-64,117,97-128,309.0195500086539,300-800,1.0,True
40,121596220,The molecule is a dicarboxylic acid monoanion that is the conjugate base of O-methylmalonylcarnitine; major species at pH 7.3. It is a conjugate base of an O-methylmalonylcarnitine.,CC(C(=O)[O-])C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,CC(C(=O)[O-])(CC(=O)[O-])OC(=O)CC[N+](C)(C)C,27,1-64,61,1-64,332.91536408995546,300-800,0.775,True
41,30951,"The molecule is an aromatic ether in which the ether oxygen links an allyl group to the 4-position of (3-chlorophenyl)acetic acid.A non-steroidal anti-inflammatory drug, it was withdrawn from the UK market in 1979 due to concerns with its association with vasculitis and rash. It has a role as a non-steroidal anti-inflammatory drug, a non-narcotic analgesic and a drug allergen. It is an aromatic ether, a monocarboxylic acid and a member of monochlorobenzenes.",C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,CC(C1=CC(=CC(=C1)C(=O)C2=CC=C(C=C2)Cl)Cl,72,65-96,123,97-128,374.0958253198426,300-800,,False
42,91972219,"The molecule is an amino disaccharide that consists of N-acetyl-D-glucosamine having an N-acetyl-6-O-sulfo-beta-D-galactosaminyl residue attached at O-4. It is an amino disaccharide, a glucosamine oligosaccharide and a galactosamine oligosaccharide.",CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)COS(=O)(=O)O)O)O,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1OC[C@@H]2[C@@H]([C@@H]([C@H](C2O)NC(=O)C)NC(=O)C)OS(=O)(=O)O)O)O)O)O,29,1-64,86,65-96,796.0698527237214,300-800,,False
43,514186,"The molecule is an O-sulfoamino acid that is L-tyrosine in which the phenolic hydrogen has been replaced by a sulfo group. It has a role as a human metabolite. It is an aryl sulfate, a L-tyrosine derivative and an O-sulfoamino acid. It is a conjugate acid of an O(4')-sulfo-L-tyrosinate(1-).",C1=CC(=CC=C1C[C@@H](C(=O)O)N)OS(=O)(=O)O,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OS(=O)(=O)O,49,1-64,100,97-128,494.7222932109412,300-800,1.0,True
44,11001318,"The molecule is a member of the class of 1,3-benzoxazoles that is 1,3-benzoxazole-6-carboxylic acid in which the hydrogen at position 2 is replaced by a 3,5-dichlorophenyl group. Used (as its meglumine salt) for the amelioration of transthyretin-related hereditary amyloidosis. It has a role as a central nervous system drug. It is a member of 1,3-benzoxazoles, a monocarboxylic acid and a dichlorobenzene. It is a conjugate acid of a tafamidis(1-).",C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl,C1=CC2=C(C(=C1)Cl)C(=O)O)O2NC3=CC(=C(C=C3)Cl,69,65-96,151,129-160,806.1471221601457,>800,,False
45,97783,"The molecule is a monohydroxy fatty acid with a lauric acid core substituted at position 2 by a hydroxy group, which confers chirality; a component of cellular lipids in Pseudomonas strains. It is a 2-hydroxy monocarboxylic acid and a 2-hydroxy fatty acid. It derives from a dodecanoic acid. It is a conjugate acid of a 2-hydroxydodecanoate.",CCCCCCCCCCC(C(=O)O)O,CCCCCCCCCCC(C(=O)O)O,56,1-64,100,97-128,156.9462214752337,100-300,1.0,True
